Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Ceres,Cererian,Cererean,,,
Eris,Eridian,,,,
Haumea,Haumean,,,,
Makemake,Makemakean,,,,
Orcus,Orcean,Orcan,,,
Pallas,Palladian,,,,
Pluto,Plutonic,Plutonian,,,
Sedna,Sednian,,,,
Vesta,Vestian,Vestan,Vestalian,,
Andromeda,Andromedan,Andromedid,,,
Aquarius,Aquarian,Aquariid,,,
Aries,Arian,Arietid,,,
Auriga,Aurigal,Aurigid,,,
Boötes,Bootid,,,,
Cancer,Cancerian,Cancrid,,,
Carina,Carinal,Carinid,,,
Capricorn,Capricornian,Capricornid,,,
Centaurus,Centaurean,Centaurian,Centaurid,,
Cetus,Cetid,,,,
Coma Berenices,Comal,Coma Berenicid,,,
Corona Austrina,Coronal,Corona Austrinid,,,
Crux,Crucial,Crucid,,,
Cygnus,Cygnean,Cygnid,,,
Dorado,Doradid,,,,
Draco,Draconic,Draconid,,,
Eridanus,Eridanid,,,,
Gemini,Geminian,Geminid,,,
Hydra,Hydrid,,,,
Leo,Leonic,Leonian,Leonean,Leonid,
Leo Minor,Leo Minorid,,,,
Libra,Libran,Librid,,,
Lyra,Lyrid,,,,
Monoceros,Monocerotid,,,,
Norma,Normid,,,,
Ophiuchus,Ophiuchid,,,,
Orion,Orionid,,,,
Pavo,Pavonid,,,,
Pegasus,Pegasean,Pegasarian,Pegasid,,
Perseus,Perseid,,,,
Phoenix,Phoenicean,Phoenicid,Phoenician,,
Pisces,Piscean,Piscian,Piscid,,
Piscis Austrinus,Piscis Austrinid,,,,
Puppis,Puppid,,,,
Sagittarius,Sagittarian,Sagittariid,,,
Scorpius,Scorpian,Scorpionic,Scorpiid,,
Taurus,Taurean,Taurian,Taurid,,
Ursa Major,Ursal,Ursid,,,
Vela,Velar,Velic,Velid,,
Virgo,Virginal,Virginian,Virginid,,
zodiac,zodiacal,,,,
Milky Way Galaxy,Galactic,Lacteal,,,
Andromeda Galaxy,Andromedan,,,,
Magellanic Clouds,Magellanic,,,,
Moon,Lunar,Selenian,Cynthian,Lunarian,Selenite
Deimos,Deimian,,,,
Phobos,Phobian,,,,
Callisto,Callistoan,Callistonian,,,
Europa,Europan,,,,
Ganymede,Ganymedean,Ganymedian,,,
Io,Ionian,,,,
Dione,Dionean,,,,
Enceladus,Enceladean,Enceladan,,,
Hyperion,Hyperionian,,,,
Iapetus,Iapetian,Japetian,,,
Mimas,Mimantean,Mimantian,,,
Rhea,Rhean,,,,
Tethys,Tethyan,,,,
Titan,Titanian,taɪˈteɪniən,Titanean,,
Ariel,Arielian,,,,
Miranda,Mirandan,Mirandian,,,
Oberon,Oberonian,,,,
Titania,Titanian,tɪˈtɑːniən,,,
Umbriel,Umbrielian,,,,
Triton,Tritonian,,,,
Charon,Charonian,,,,
Dysnomia,Dysnomian,,,,
Mercury,Mercurian,Mercurial,Hermean,Hermeian,Cyllenian
Venus,Venerian,Venusian,Cytherean,Cytherian,Hesperian
Earth,Earthly,Terran,Terrestrial,Terrene,Tellurian
Mars,Martian,Martial,Arean,,
Jupiter,Jovian,Jupiterian,Zeusian,,
Saturn,Saturnian,Saturnine,Cronian,Kronian,Saturnial
Uranus,Uranian,Caelian,,,
Neptune,Neptunian,Neptunial,Poseidean,,
Sun,Solar,Heliacal,Phoebean,Phebean,Solarian
