Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Acre,Acrean,,,,
Alagoas,Alagoan,,,,
Amapá,Amapaense,,,,
Amazonas,Amazonense,,,,
Bahia,Bahian,,,,
Ceará,Cearense,,,,
Espírito Santo,Capixaba or Espiritossantense,,,,
Federal District,Brasiliense,,,,
Goiás,Goian,,,,
Maranhão,Maranhense,,,,
Mato Grosso,Matogrossense,,,,
Mato Grosso do Sul,Sul-matogrossense,,,,
Minas Gerais,Mineiran,Mineiro,,,
Pará,Paraense,,,,
Paraíba,Paraiban,,,,
Paraná,Paranaense,,,,
Pernambuco,Pernambucan,,,,
Piauí,Piauiense,,,,
Rio de Janeiro,Fluminense,Rio de Janeiran,,,
Rio Grande do Norte,Potiguar or Norte-riograndense,,,,
Rio Grande do Sul,Gaúcho or Sul-riograndense,Sul-rio-grandense,,,
Rondônia,Rondonian or Rondoniense,,,,
Roraima,Roraimense,,,,
Santa Catarina,Catarinense,,,,
São Paulo,Paulista,Paulistano,,,
Sergipe,Sergipan,,,,
Tocantins,Tocantinense,,,,
