Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Alberta,Albertan,Albertans,'Bertans,,
British Columbia,British Columbian,BC,British Columbians,B.C.ers,
Manitoba,Manitoban,Manitobans,French: Manitobains m.,Manitobaines f.,Tobans
New Brunswick,New Brunswick,New Brunswickers,French: Néo-Brunswickois m.,Néo-Brunswickoises f.,Herring Chokers
Newfoundland and Labrador,Newfoundland and Labrador,Newfoundlanders,Labradorians,French: Terre-Neuviens m.,Terre-Neuviennes f.
Northwest Territories,Northwest Territorian,NWT (also N.W.T.,Northwest Territorians,,
Nova Scotia,Nova Scotian,Nova Scotians,French: Néo-Écossais m.,Néo-Écossaises f.,Bluenoses
Nunavut,Nunavut,Nunavummiut (Nunavummiuq sing.,,,
Ontario,Ontario,Ontarians,French: Ontariens m.,Ontariennes f.,
Prince Edward Island,Prince Edward Island,PEI,Island,Prince Edward Islanders,Islanders
Quebec,Quebec,French: québécois m.,québécoise f.,Quebecers,Quebeckers
Saskatchewan,Saskatchewan,Saskatchewanians,Flat-landers,,
Yukon,Yukon,Yukoners,Sourdoughs,,
