Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Afro-Eurasia,Afro-Eurasian,,,,
Africa,African,,,,
Eurasia,Eurasian,,,,
Asia,Asian,,,,
Middle East,Middle Eastern,,,,
Europe,European,,,,
America,American,,,,
North America,North American,,,,
Caribbean,Caribbean,,,,
West Indies,West Indian,,,,
Central America,Central American,,,,
Northern America,Northern American,,,,
South America,South American,,,,
Antarctica,Antarctic,,,,
Oceania,Oceanian,,,,
Australasia,Australasian,,,,
Australia,Australian,,,,
Zealandia,Zealandian,,,,
Pacific Islands,Pacific Islands,,,,
