Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Abkhazia,Abkhaz,Abkhazian,Abkhazians,,
Afghanistan,Afghan,Afghans,,,
Åland,Åland Island,Ålanders,,,
Albania,Albanian,Albanians,,,
Algeria,Algerian,Algerians,,,
American Samoa,American Samoan,American Samoans,,,
Andorra,Andorran,Andorrans,,,
Angola,Angolan,Angolans,,,
Anguilla,Anguillan,Anguillans,,,
Antarctica,Antarctic,Antarctic residents,Antarcticans,,
Antigua and Barbuda,Antiguan,Barbudan,Antiguans,Barbudans,
Argentina,Argentine,Argentinian,Argentines,Argentinians,
Armenia,Armenian,Armenians,,,
Aruba,Aruban,Arubans,,,
Australia,Australian,Australians,,,
Austria,Austrian,Austrians,,,
Azerbaijan,Azerbaijani,Azeri,Azerbaijanis,Azeris,
The Bahamas,Bahamian,Bahamians,,,
Bahrain,Bahraini,Bahrainis,,,
Bangladesh,Bangladeshi,Bangladeshis,,,
Barbados,Barbadian,Barbadians,Bajans,,
Belarus,Belarusian,Belarusians,,,
Belgium,Belgian,Belgians,,,
Belize,Belizean,Belizeans,,,
Benin,Beninese,Beninois,,,
Bermuda,Bermudian,Bermudan,Bermudians,Bermudans,
Bhutan,Bhutanese,,,,
Bolivia,Bolivian,Bolivians,,,
Bonaire,Bonaire,Bonairean,Bonaireans,,
Bosnia and Herzegovina,Bosnian,Herzegovinian,Bosnians,Herzegovinians,
Botswana,Botswanan,Batswana (singular Motswana,,,
Bouvet Island,Bouvet Island,Bouvet Islanders,,,
Brazil,Brazilian,Brazilians,,,
British Indian Ocean Territory,BIOT,British,,,
Brunei,Bruneian,Bruneians,,,
Bulgaria,Bulgarian,Bulgarians,,,
Burkina Faso,Burkinabe,Burkinabes,,,
Burundi,Burundian,Burundians,Barundi,,
Cabo Verde,Cabo Verdean,Cabo Verdeans,,,
Cambodia,Cambodian,Cambodians,,,
Cameroon,Cameroonian,Cameroonians,,,
Canada,Canadian,Canadians,,,
Cayman Islands,Caymanian,Caymanians,,,
Central African Republic,Central African,Central Africans,,,
Chad,Chadian,Chadians,,,
Chile,Chilean,Chileans,,,
China,Chinese,,,,
Christmas Island,Christmas Island,Christmas Islanders,,,
Cocos,Cocos Island,Cocos Islanders,,,
Colombia,Colombian,Colombians,,,
Comoros,Comoran,Comorian,Comorans,Comorians,
Democratic Republic of the Congo,Congolese,,,,
Republic of the Congo,Congolese,,,,
Cook Islands,Cook Island,Cook Islanders,Cook,,
Costa Rica,Costa Rican,Costa Ricans,,,
Croatia,Croatian,Croatians,Croats,,
Cuba,Cuban,Cubans,,,
Curaçao,Curaçaoan,Curaçaoans,,,
Cyprus,Cypriot,Cypriots,Cypriote,,
Czech Republic,Czech,Czechs,,,
Denmark,Danish,Danes,,,
Djibouti,Djiboutian,Djiboutians,,,
Dominica,Dominican,Dominicans,,,
Dominican Republic,Dominican,Dominicans,,,
Ecuador,Ecuadorian,Ecuadorians,,,
Egypt,Egyptian,Egyptians,,,
El Salvador,Salvadoran,Salvadorans,Salvadorians,Salvadoreans,
England,English,Englishmen and Englishwomen,,,
Equatorial Guinea,Equatorial Guinean,Equatoguinean,Equatorial Guineans,Equatoguineans,
Eritrea,Eritrean,Eritreans,,,
Estonia,Estonian,Estonians,,,
Eswatini,Swazi,Swati,Swazis,,
Ethiopia,Ethiopian,Ethiopians,Habesha,,
European Union,European,Europeans,,,
Falkland Islands,Falkland Island,Falkland Islanders,,,
Faroe Islands,Faroese,,,,
Fiji,Fijian,Fijians,,,
Finland,Finnish,Finns,,,
France,French,Frenchmen and Frenchwomen,,,
French Guiana,French Guianese,,,,
French Polynesia,French Polynesian,French Polynesians,,,
French Southern Territories,French Southern Territories,French,,,
Gabon,Gabonese,Gabonaise,,,
The Gambia,Gambian,Gambians,,,
Georgia,Georgian,Georgians,,,
Germany,German,Germans,,,
Ghana,Ghanaian,Ghanaians,,,
Gibraltar,Gibraltar,Gibraltarians,Gibraltarian,,
Greece,Greek,Hellenic,Greeks,Hellenes,
Greenland,Greenlandic,Greenlanders,,,
Grenada,Grenadian,Grenadians,,,
Guadeloupe,Guadeloupe,Guadeloupians,Guadeloupeans,,
Guam,Guamanian,Guamanians,,,
Guatemala,Guatemalan,Guatemalans,,,
Guernsey,Guernsey,Guernseymen and Guernseywomen,,,
Guinea,Guinean,Guineans,,,
Guinea-Bissau,Bissau-Guinean,Bissau-Guineans,,,
Guyana,Guyanese,,,,
Haiti,Haitian,Haitians,,,
Heard Island and McDonald Islands,Heard Island,McDonald Island,Heard Islanders,McDonald Islanders,
Honduras,Honduran,Hondurans,,,
Hong Kong,Hong Kong,Hong Konger,Hongkongers,Hong Kongese,Hongkongese
Hungary,Hungarian,Magyar,Hungarians,Magyars,
Iceland,Icelandic,Icelanders,,,
India,Indian,Indians,,,
Indonesia,Indonesian,Indonesians,,,
Iran,Iranian,Iranians,,,
Iraq,Iraqi,Iraqis,,,
Ireland,Irish,Irishmen and Irishwomen,,,
Isle of Man,Manx,Manxmen and Manxwomen,,,
Israel,Israeli,Israelis,,,
Italy,Italian,Italians,,,
Ivory Coast,Ivorian,Ivorians,,,
Jamaica,Jamaican,Jamaicans,,,
Jan Mayen,Jan Mayen,Jan Mayen residents,Jan Mayenese,,
Japan,Japanese,,,,
Jersey,Jersey,Jerseymen and Jerseywomen,Jersian,Jèrriais,
Jordan,Jordanian,Jordanians,,,
Kazakhstan,Kazakhstani,Kazakh,Kazakhstanis,Kazakhs,
Kenya,Kenyan,Kenyans,,,
Kiribati,Kiribati,I-Kiribati,,,
North Korea,North Korean,Koreans,North Koreans,,
South Korea,South Korean,Koreans,South Koreans,,
Kosovo,Kosovar,Kosovan,Kosovars,Kosovans,
Kuwait,Kuwaiti,Kuwaitis,,,
Kyrgyzstan,Kyrgyzstani,Kyrgyz,Kirgiz,Kirghiz,Kyrgyzstanis
Laos,Lao,Laotian,Laos,Laotians,
Latvia,Latvian,Lettish,Latvians,Letts,
Lebanon,Lebanese,,,,
Lesotho,Basotho,Basotho (singular Mosotho,,,
Liberia,Liberian,Liberians,,,
Libya,Libyan,Libyans,,,
Liechtenstein,Liechtensteiner,Liechtensteiners,,,
Lithuania,Lithuanian,Lithuanians,,,
Luxembourg,Luxembourg,Luxembourgish,Luxembourgers,,
Macau,Macanese,,,,
Madagascar,Malagasy,Madagascan,Madagascans,,
Malawi,Malawian,Malawians,,,
Malaysia,Malaysian,Malaysians,,,
Maldives,Maldivian,Maldivians,,,
Mali,Malian,Malinese,Malians,,
Malta,Maltese,,,,
Marshall Islands,Marshallese,,,,
Martinique,Martiniquais,Martinican,Martiniquaises,,
Mauritania,Mauritanian,Mauritanians,,,
Mauritius,Mauritian,Mauritians,,,
Mayotte,Mahoran,Mahorans,,,
Mexico,Mexican,Mexicans,,,
Micronesia,Micronesian,Micronesians,,,
Moldova,Moldovan,Moldovans,,,
Monaco,Monégasque,Monacan,Monégasques,Monacans,
Mongolia,Mongolian,Mongolians,Mongols,,
Montenegro,Montenegrin,Montenegrins,,,
Montserrat,Montserratian,Montserratians,,,
Morocco,Moroccan,Moroccans,,,
Mozambique,Mozambican,Mozambicans,,,
Myanmar,Myanma,Burmese,Myanmar,,
Namibia,Namibian,Namibians,,,
Naoero,dei-Naoero,Nauruan,Nauruans,,
Nepal,Nepali,Nepalese,Nepalis,,
Netherlands,Dutch,Dutchmen and Dutchwomen,Netherlanders,,
New Caledonia,New Caledonian,New Caledonians,,,
New Zealand,New Zealand,New Zealanders,New Zealander,,
Nicaragua,Nicaraguan,Nicaraguans,,,
Niger,Nigerien,Nigeriens,,,
Nigeria,Nigerian,Nigerians,,,
