Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Abyssinia,Abyssinian,Abyssinians,,,
Acadia,Acadian,Acadians,,,
Akkadia,Akkadian,Akkadians,,,
Aksum,Aksumite,Axumite,Aksumites,Axumites,
Al-Andalus,Andalusi,Andalusis,,,
Annam,Annamese,Annamite,Annamites,,
Apacheria,Apache,Apaches,,,
Aridoamerica,Aridoamerican,Aridoamericans,,,
Artsakh,Artsakhi,Artsakhis,,,
Assyria,Assyrian,Assyrians,,,
Austria-Hungary,Austro-Hungarian,Austro-Hungarians,Austrians,Hungarians,
Azawad,Azawadi,Azawadis,,,
Aztec Empire,Aztec,Aztecs,,,
Babylonia,Babylonian,Babylonians,,,
Basutoland,Basuto,Basuto (singular Mosuto,,,
Bechuanaland,Bechuana,Bechuanas,,,
Bessarabia,Bessarabian,Bessarabians,,,
Biafra,Biafran,Biafrans,,,
Bophuthatswana,Bophuthatswanan,Bophuthatswanans,,,
Burma,Burmese,,,,
Byelorussia,Byelorussian,Byelorussians,,,
Byzantium,Byzantine,Byzantines,,,
Canaan,Canaanite,Canaanites,,,
Carthage,Carthaginian,Carthaginians,,,
Ceylon,Ceylonese,,,,
Champa,Cham,Chams,,,
Chola Empire,Chola,Cholas,,,
Circassia,Circassian,Circassians,,,
Ciskei,Ciskeian,Ciskeians,,,
Cisplatina,Ciplatine,Cisplatines,,,
Cochinchina,Cochinchinese,,,,
Comancheria,Comanche,Comanches,,,
Confederate States of America,Confederate,CSA,Confederates,"""Rebels""","""Rebs"""
Couto Misto,Couto Mixtan,Couto Mixtans,,,
Czechoslovakia,Czechoslovak,Czech,Czechoslovakian is incorrect,though frequent,Czechoslovaks
Dahomey,Dahomeyan,Dahomeyans,,,
Dalmatia,Dalmatian,Dalmatians,,,
Eastern Nigeria,Easterner,Easterners,,,
Elam,Elamite,Elamitic,Elamitish,Elamites,
Ellice Islands,Ellicean,Elliceans,,,
Etruria,Etrurian,Etruscan,Etruscans,,
Formosa,Formosan,Formosans,,,
Francia,Frankish,Franks,,,
Gilbert Islands,Gilbertese,,,,
Gran Colombia,Gran Colombian,Colombian,Gran Colombians,Colombians,
Hittite Empire,Hittite,Hittites,,,
Hunnic Empire,Hunnic,Hunnish,Huns,,
Ichkeria,Ichkerian,Chechen,Ichkerians,Chechens,
Inca Empire,Inca,Incan,Incas,,
Kamerun,Kamerunian,Kamerunians,,,
Kampuchea,Kampuchean,Kampucheans,,,
Katanga,Katangese,,,,
Kievan Rus',Rus',,,,
Kongo,Kongolese,,,,
Kush,Kushite,Kushites,,,
Lapland,Laplandic,Lapps,Lappish,,
Lebowa,Lebowan,Lebowans,,,
Livonia,Livonian,Livonians,Livs,,
Manchuria,Manchurian,Manchurians,,,
Malaya,Malay,Malayan,Malays,Malayans,
Memelland,Memelandish,Memellanders,,,
Mesoamerica,Mesoamerican,Mesoamericans,,,
Moldavia,Moldavian,Moldavians,,,
Mosquitia,Mosquitian,Mosquitians,,,
Muscovy,Muscovite,Moscovian,Muscovites,,
Neutral Moresnet,Moresnetic,Moresnetters,,,
New Granada,New Granadan,New Granadans,,,
New Hebrides,New Hebridean,New Hebrideans,,,
Nyasaland,Nyasa,Nyasas,,,
Oasisamerica,Oasisamerican,Oasisamericans,,,
Ottoman Empire,Ottoman,Ottomans,,,
Panama Canal Zone,Canal Zone,Zonians,,,
Papal States,Papal,Papalini,,,
Parthia,Parthian,Parthians,,,
Peru-Bolivia,Peru-Bolivian,Peru-Bolivians,Peruvians,Bolivians,
Phoenicia,Phoenician,Phoenicians,,,
Pictland,Pictish,Picts,,,
Pomerania,Pomeranian,Pomeranians,,,
Prussia,Prussian,Prussians,,,
Purépecha Empire,Purépecha,Purépechas,,,
Rhodesia,Rhodesian,Rhodesians,,,
Rumelia,Rumelian,Rumelians,,,
Ruthenia,Ruthenian,Ruthene,Ruthenians,Ruthenes,East Slavs
Rome,Roman,Romans,,,
Ryukyu,Ryukyuan,Ryukyuans,,,
Saint-Domingue,Dominiguan,Saint-Dominguan,Dominiguans,Saint-Dominguans,
Sandwich Islands,Sandwich Island,Sandwich Islanders,,,
Severia,Severian,Severians,,,
Siam,Siamese,,,,
Sonargaon,Sonargaiya,Sonargaiyas,,,
Sudetenland,Sudetes,Sudetenlanders,,,
Sumer,Sumerian,Sumerians,,,
South West Africa,South West African,South West Africans,,,
Soviet Union,Soviet,Russian,Soviets,Russians,
Swabia,Swabian,Swabians,,,
Swaziland,Swazi,Swati,Swazis,,
Tanganyika,Tanganyikan,Tanganyikans,,,
Tartary,Tartar,Tartarian,Tatars,Tartars,
Taurida,Tauridian,,,,
Tonkin,Tonkinese,,,,
Transkei,Transkeian,Transkeians,,,
Transvaal,Transvaaler,Transvaalers,,,
Transylvania,Transylvanian,Transylvanians,,,
Trucial States,Trucial,Trucials,,,
Two Sicilies,Duosicilian,Regnicoli,,,
Ubangi-Shari,Ubangi-Sharian,Ubangi-Sharians,,,
United Arab Republic,United Arab,Egyptian,Syrian,United Arabs,Egyptians
Upper Volta,Upper Voltan,Upper Voltans,,,
Van Diemen's Land,Van Diemonian,Vandemonian,,,
Venda,Vendan,Venda,Vendas,,
Vinland,Vinlandic,Vinlanders,,,
Wallachia,Wallachian,Wallachians,,,
Yugoslavia,Yugoslav,Yugoslavs,Yugoslavians,less commonly Jugoslavs,Jugoslavians
Zaire,Zairean,Zaireans,,,
Zululand,Zulu,Zulus,,,
