Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Angria,Angrian,Angrians,,,
Baden-Württemberg,Badisch,Württembergisch,Hohenzollerisch,Badener,Württembergers
Bavaria,Bavarian,Bavarians,,,
Berlin,Berliner,Berliners,Berlinese,,
Brandenburg,Brandenburgish,Brandenburgers,,,
Eastphalia,Eastphalian,Eastphalians,,,
Franconia,Franconian,Franconians,,,
Free and Hanseatic City of Hamburg,Hamburgish,Hamburgians,Hamburgers,,
Hannover,Hanoverian,Hanoverians,Hannoveraners,,
Hesse,Hessian,Hessians,,,
Lower Saxony,Lower Saxon,Lower Saxons,,,
Mecklenburg-Western Pomerania,Mecklenburgish,Pomeranian,Mecklenburger,,
North Rhine-Westphalia,North Rhine - Westphalian,Rhenish,Westphalian,North Rhine - Westphalians,Rhinelanders
Pomerania,Pomeranian,Pomeranians,,,
Prussia,Prussian,Prussians,,,
Rhineland,Rhenish,Rhinelanders,,,
Rhineland-Palatinate,Rhenish,Palatine,Rhinelanders,Palatines,Pfälzer
Saarland,Saarlander,Saar,Saarlanders,Saars,
Saxony,Saxon,Saxons,,,
Saxony-Anhalt,Saxon,Anhaltish,Saxons,Anhalters,
Silesia,Silesian,Silesians,,,
Schleswig-Holstein,Schleswigish,Holsteinish,Schleswigers,Holsteiners,
Swabia,Swabian,Swabians,,,
Thuringia,Thuringian,Thuringians,,,
Westphalia,Westphalian,Westphalians,,,
