Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Andaman and Nicobar Islands,Andamanese,Nicobarese,,,
Andhra Pradesh,Andhrulu,Andhraites,Andhrites,Andhra Pradeshis,Teluguvaaru
Arunachal Pradesh,Arunachali,Arunachalis,,,
Assam,Assamese,,,,
Bihar,Bihari,Biharis,,,
Chandigarh,Chandigarhi,Chandigarhis,,,
Chhattisgarh,Chhattisgarhi,Chhattisgarhis,,,
Dadra and Nagar Haveli and Daman and Diu,Dadran,Nagar Havelian,Damanese,Diuese,
Delhi,Delhiite,Delhian,Delhiites,Delhians,
Goa,Goan,Goans,Goenkars,,
Gujarat,Gujarati,Gujaratis,,,
Haryana,Haryanvi,Haryanvis,–,,
Himachal Pradesh,Himachali,Himachalis,,,
Jammu and Kashmir,Jammu,Kashmiri,Jammuite,Kashmiris,–
Jharkhand,Jharkhandi,Jharkhandis,,,
Karnataka,Karnatakan,Canarese,Karnatakans,Kannadiga,
Kerala,Keralite,Keralites,Malayalis,Malayali,
Ladakh,Ladakhi,,,,
Lakshadweep,Laccadivian,Laccadivians,,,
Madhya Pradesh,Madhya Pradeshi,Madhya Pradeshis,,,
Maharashtra,Maharashtrian,Maharashtrians,Marathi,,
Manipur,Manipuri,Manipuris,Meiteis,,
Meghalaya,Meghalayan,Meghalayans,,,
Mizoram,Mizo,Mizos,,,
Nagaland,Naga,Nagalandese,Nagas,Nagalanders,
Odisha,Odia (Odia) [of the people],Odishan (Orissan) [of the state],Odissi (Orissi,Odishan,Odishans (Orissans
Puducherry,Pondicherrian,Pondicherrians,–,,
Punjab,Punjabi,Punjabis,,,
Rajasthan,Rajasthani,Rajasthanis,,,
Sikkim,Sikkimese,,,,
Tamil Nadu,Tamil,Tamilian,Tamils,Tamilians,Tamizhan
Telangana,Telanganite,Telanganites,Teluguvaaru,,
Tripura,Tripuri,Tripuran,Tripuris,Tripurans,
Uttar Pradesh,Uttar Pradeshi,Uttar Pradeshis,,,
Uttarakhand,Uttarakhandi,Uttarakhandis,,,
West Bengal,West) Bengali,West) Bengalese (archaic,West) Bengalis,West Bengali,
