Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Johor,Johorean,Johoreans,Southerners,,
Kedah,Kedahan,Kedahans,Northerners,,
Kelantan,Kelantanese,East Coasters,,,
Kuala Lumpur,Kuala Lumpurian,Kuala Lumpurians,Federal Territorians,KL-ites,
Labuan,Labuanese,Federal Territorians,,,
Malacca,Malaccan,Melakan,Malaccans,Melakans,
Negeri Sembilan,Negeri Sembilanese,Negrians,,,
Pahang,Pahangite,Pahangites,East Coasters,,
Penang,Penangite,Penangites,,,
Perak,Perakian,Perakians,,,
Perlis,Perlisian,Perlisians,,,
Putrajaya,Putrajayan,Putrajayans,Federal Territorians,,
Sabah,Sabahan,Sabahans,Borneans,,
Sarawak,Sarawakian,Sarawakians,Borneans,,
Selangor,Selangorean,Selangoreans,,,
Terengganu,Terengganuan,Terengganuans,East Coasters,,
West Malaysia,West Malaysian,West Malaysians,Malayans,,
East Malaysia,East Malaysian,East Malaysians,Borneans,,
