Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Abra,Abrenian,Abreño,-a,,
Agusan del Norte,North Agusanian,Agusanon,,,
Agusan del Sur,South Agusanian,Agusanon,,,
Aklan,Aklan,Aklanon,Aklanese,Akeanon*,
Albay,Albay,Albayan,Albayano,-a,
Antique,Antiquenian,Antiqueño,-a,,
Apayao,Apayao,Apayaonian,,,
Aurora,Auroran,taga-Aurora,,,
Basilan,Basilan,Basileño,Basilanese,-a,
Bataan,Bataan,Bataanese,Bataeño,-a,taga-Bataan
Batanes,Batanic,Ivatan,Ivatanic,,
Batangas,Batangan,Batangueño,-a,taga-Batangas,Batangasin in Quezon
Benguet,Benguet,Benguetian,Igorot,,
Biliran,Biliran,Biliranian,Biliranon,,
Bohol,Boholan,Boholano,-a,Bol-anon*,
Bukidnon,Bukidnon,,,,
Bulacan,Bulacan,Bulaqueño,Bulacanese,-a,taga-Bulacan
Cagayan,Cagayan,Cagayano,Cagayanese,-a,
Camarines Norte,North Camarinean,Camarinense,,,
Camarines Sur,South Camarinean,Camarinense,,,
Camiguin,Camiguin,Camiguinon,,,
Capiz,Capizian,Capizeño,-a,Capiznon,
Catanduanes,Catanduanean,Catandueño,-a,Catandunganon,
Cavite,Cavitenian,Caviteño,-a,taga-Cavite,
Cebu,Cebu,Cebuan,Cebuano,-a,Sugbuanon*
Cotabato,Cotabato,Cotabatan,Cotabateño,-a,
Davao de Oro,Golden Davao,Davaoeño,Orocanon,Oroqueño,-a
Davao del Norte,North Davao,Davaoeño,-a,,
Davao del Sur,South Davao,Davaoeño,-a,,
Davao Occidental,Western Davao,Davaoeño,-a,,
Davao Oriental,Eastern Davao,Davaoeño,-a,,
Dinagat Islands,Dinagat,Dinagatan,Dinagatnon,,
Eastern Samar,Eastern Samarian,Samareño,Eastern Samareño,-a,Samarnon
Guimaras,Guimarasian,Guimarasnon,,,
Ifugao,Ifugao,Igorot,,,
Ilocos Norte,North Ilocos,Ilocano,-a,,
Ilocos Sur,South Ilocos,Ilocano,-a,,
Iloilo,Iloilo,Iloiloan,Ilonggo,-a,
Isabela,Isabelan,Isabeleño,-a,,
Kalinga,Kalingan,Kalinga,,,
La Union,La Unionian,La Ueño,-a,,
Laguna,Lagunian,Laguneño,Lagunense,-a,taga-Laguna
Lanao del Norte,North Lanao,Lanaonon,,,
Lanao del Sur,South Lanao,Maranao,,,
Leyte,Leytenian,Leyteño,-a,,
Maguindanao del Norte,North Maguindanaoan,Norte Maguindanao,,,
Maguindanao del Sur,South Maguindanaoan,Maguindanao,,,
Manila,Manilan,Manileño,-a,taga-Maynila,Maynilain in Quezon
Marinduque,Marinduquenian,Marinduqueño,-a,Marindukanon,Marinduquehin
Masbate,Masbatenian,Masbateño,-a,,
Misamis Occidental,West Misamis,Occidental Misamisnon,,,
Misamis Oriental,East Misamis,Oriental Misamisnon,,,
Mountain Province,Mountaineers,Bontoc,Igorot,,
Negros Occidental,West Negros,Negrense,Occidental Negrense,Negrosanon,
Negros Oriental,East Negros,Negrense,Oriental Negrense,Negrosanon,
Northern Samar,North Samarian,Samareño,Norte Samareño,-a,Nortehanon*
Nueva Ecija,Nueva Ecijan,Novo Ecijano,-a,taga-Nueva Ecija,
Nueva Vizcaya,Nueva Vizcayan,Novo Vizcayano,-a,,
Occidental Mindoro,West Mindorenian,Mindoreño,Occidental Mindoreño,-a,taga-Occidental Mindoro
Oriental Mindoro,East Mindorenian,Mindoreño,Oriental Mindoreño,-a,taga-Oriental Mindoro
Palawan,Palawan,Palaweño,-a,,
Pampanga,Pampangan,Pampangueño,-a,Kapampangan*,
Pangasinan,Pangasinan,Pangasinense,Pangalatok,,
Quezon,Quezonian,Quezonin,taga-Quezon,Tayabasin,Tayabeño
Quirino,Quirinian,,,,
Rizal,Rizalian,Rizaleño,-a,taga-Rizal,
Romblon,Romblonian,Romblomanon,,,
Samar,West Samarian,Samareño,-a,Samarnon,Westehanon
Sarangani,Sarangan,,,,
Siquijor,Siquijorian,Siquijornon,Siquijodnon,,
Sorsogon,Sorsogonian,Sorsogueño,-a,Sorsoganon,
South Cotabato,South Cotabatan,South Cotabateño,-a,,
Southern Leyte,Southern Leytenian,Southern Leyteño,-a,,
Sultan Kudarat,Sultan Kudaratenian,Sultan Kudarateño,-a,,
Sulu,Sulu,Suluan,Suluano,-a,
Surigao del Norte,North Surigaoan,Surigaonon,,,
Surigao del Sur,South Surigaoan,Surigaonon,,,
Tarlac,Tarlaquenian,Tarlaqueño,-a,Tarlakin,taga-Tarlac
Tawi-Tawi,Tawi-Tawian,,,,
Zambales,Zambalean,Zambaleño,-a,Sambal,
Zamboanga del Norte,North Zamboangan,Zamboangueño,Norte Zamboangueño,-a,
Zamboanga del Sur,South Zamboangan,Zamboangueño,-a,Chavacano*,
Zamboanga Sibugay,Sibugay,Sibugaynon,Zamboangueño,-a,
