Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Auckland Region,Auckland,Aucklanders,"""Jafas""",,
Bay of Plenty Region,Bay of Plenty,Bay of Plentiers,,,
Canterbury Region,Canterbury,Cantabrians,"""Cantabs""",,
Gisborne Region,Gisborne,East Coast,Gisbornians,East Coasters,
Hawke's Bay Region,Hawke's Bay,Hawke's Bayers,"""Baysiders""",,
Manawatū-Whanganui Region,Manawatū-Whanganui,Manawatu,Wanganui,Manawatū-Whanganuians,Manawatuans
Marlborough Region,Marlborough,Marlburians,,,
Nelson Region,Nelsonian,Nelsonians,,,
Northland Region,Northland,Northlanders,,,
Otago Region,Otago,Otagoites,Otagoans,Otagonians,
Southland Region,Southland,Southlanders,,,
Taranaki Region,Taranaki,Taranakians,"""'Nakians""",,
Tasman Region,Tasman,Tasmanites,,,
Waikato Region,Waikato,Waikatoans,"""Mooloos""",,
Wellington Region,Wellington,Wellingtonian,Wellingtonians,,
West Coast Region,West Coast,West Coasters|,"""Coasters""",,
North Island,North Island,North Islanders,,,
South Island,South Island,Mainland,South Islanders,"""Mainlanders""",
Stewart Island,Stewart Island,Rakiuran,Stewart Islanders,Rakiurans,
Chatham Islands,Chatham,Chatham Islanders,,,
