Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Aguascalientes,Hydrocalid,Hidrocálido,-a,aguascalentense,
Baja California,Lower Californian,Bajacaliforniano,-a,,
Baja California Sur,South Lower Californian,Sudcaliforniano,-a,,
Campeche,Campechan,Campechano,-a,,
Chiapas,Chiapan,Chiapaneco,-a,,
Chihuahua,Chihuahuan,Chihuahuense,"""Norteño","a""",
Coahuila de Zaragoza,Coahuilan,Coahuilense,,,
Colima,Colimean,Colimense,,,
Durango,Durangolese,Duranguense,Durangoan,,
Guanajuato,Guanajuatean,Guanajuatense,,,
Guerrero,Guerreran,Guerrerense,,,
Hidalgo,Hidalgolese,Hidalguense,,,
Jalisco,Jaliscan,Jalisciense,"""Jalisquillo"" ""Tapatio","Tapatia""",
State of Mexico,Mexican,Mexiquense,,,
Ciudad de México,Mexiqueño,-a,defeño,"""Chilango""",
Michoacán,Michoacanese,Michoacano,-a,,
Morelos,Morelese,Morelense,,,
Nayarit,Nayarita,,,,
Nuevo León,New Leonese,Neoleonés,neoleonense,"""Regio","a"""
Oaxaca,Oaxacan,Oaxaqueño,-a,"""Oaxaco""",
Puebla,Pueblan,Poblano,-a,,
Querétaro,Queretan,Queretano,-a,,
Quintana Roo,Quintanaroan,Quintanarroense,,,
San Luis Potosí,Potosinian,Potosino,-a,,
Sinaloa,Sinaloan,Sinaloense,,,
Sonora,Sonoran,Sonorense,,,
Tabasco,Tabascan,Tabasqueño,-a,,
Tamaulipas,Tamaulipan,Tamaulipeco,-a,,
Tlaxcala,Tlaxcaltheque,Tlaxcalteco,-a,,
Veracruz,Veracruzan,Veracruzano,-a,Veracruzite,"a"""
Yucatán,Yucatec,Yucatecan,Yucateco,-a,"""Costeño"
Zacatecas,Zacatecan,Zacatecano,-a,,
