Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Afar,Afar,Afars,,,
Amhara,Amhara,Amharas,,,
Cabinda,Cabindan,Cabindans,,,
Caprivi Strip,Caprivian,Caprivians,,,
Casamance,Casamancais,,,,
Cyrenaica,Cyrene,Cyrenes,Cyrenaican,,
Darfur,Darfur,Darfuris,,,
Fezzan,Fezzan,Fezzanis,,,
Kasaï,Kasaian,Kasaians,,,
Katanga,Katangese,,,,
Kivu,Kivutian,Kivutians,,,
Macaronesia,Macaronesian,Macaronesians,,,
Maghreb,Maghrebi,Maghrebis,,,
Mediterranean,Mediterranean,,,,
Nile River,Nilotic,,,,
Nubia,Nubian,Nubians,,,
Oromia,Oromo,Oromian,Oromos,Oromians,
Puntland,Puntland,Puntlanders,,,
Rif,Riffian,Riffians,,,
Rodrigues,Rodriguan,Rodriguans,,,
Sahara,Saharan,Sahrawi,,,
Sahel,Sahelian,Sahelians,,,
Senegambia,Senegambian,Senegambians,,,
Socotra,Socotran,Soqotri,Socotrans,,
Tigray,Tigrayan,Tigrayans,,,
Tripolitania,Tripolitanian,Tripolitanians,,,
Zambezi River,Zambezian,Zambezians,,,
Zanzibar,Zanzibari,Zanzibaris,,,
Acadia,Acadian,Acadians,,,
Acadiana,Acadian,Cajuns,,,
Aleutian Islands,Aleut,Aleutian,Aleuts,Aleutians,
Amazon river and Amazon region,Amazonian,,,,
Andes,Andean,,,,
Antilles,Antillean,Antilleans,,,
Appalachia,Appalachian,,,,
Caribbean,Caribbean,,,,
Cascadia,Cascadian,Cascadians,,,
Ceara,Cearense,Cearenses,,,
Chiloé Archipelago,Chilotan,Chilotes,,,
Florida Keys,Chonchs,,,,
Galápagos Islands,Galapagueño,Galapagueños,,,
Guiana,Guianan,Guianans,Guianese,,
Long Island,Long Island,Long Islanders,,,
Maritimes,Maritime,Maritimers,,,
Minas Gerais,Mineiro,Mineiros,,,
New England,New England,New Englanders,,,
Northern Mexico,Norteño,Norteños,,,
Nunatsiavut,Nunatsiavut,Nunatsiavummiut (Nunatsiavummiuk sing.,,,
Nunavik,Nunavik,Nunavimmiut (Nunavimmiuq sing.,,,
Patagonia,Patagonian,Patagonians,,,
Paraná,Paranaense,Paranaenses,,,
Rio de Janeiro,Fluminense,Fluminenses,Rio de Janeiran,,
Rio Grande do Sul,Sul-rio-grandense,Gaúcho,Gaúchos,,
St. Lawrence River,Laurentian,,,,
Santa Catarina,Catarinense,Barriga-verde,Catarinenses,Barrigas-verdes,
São Paulo,Paulista,Paulistas,Paulistano,,
South,Southern,Southerners,,,
Tierra del Fuego,Fuegian,Fuegians,,,
Upper Peninsula of Michigan,Yoopers,,,,
West Indies,West Indian,West Indians,,,
Bali,Balinese,,,,
Balochistan,Balochi,s,Baluchi,,
Bangsamoro,Moro,,,,
Bengal,Bengali,Bengalis,,,
Bicol,Bicol,Bicolano,Bicolanos,,
Bihar,Bihari,Biharis,,,
Borneo,Bornean,Borneans,,,
Caucasus,Caucasian,Caucasic,Caucasians,,
Central Asia,Central Asian,Central Asians,,,
Flores,Floresian,,,,
Gujarat,Gujarati,Gujaratis,,,
Himalayas,Himalayan,,,,
Indochina,Indochinese,,,,
Java,Javanese,Sundanese,,,
Kashmir,Kashmiran,Kashmiris,Kashmirite,Kashmiri,
Korea,Korean,Koreans,,,
Kumaon,Kumaoni,Kumaiye,Kumaonis,,
Luzon,Luzones,,,,
Melanesia,Melanesian,Melanesians,,,
Moluccas,Moluccan,Moluccans,,,
Mindanao,Mindanaoan,Mindanaoans,,,
Negros,Negrenses,Negrosanons,,,
Okinawa,Okinawan,Ryukyuan,Okinawans,Ryukyuans,
Punjab,Punjabi,Punjabis,,,
Siberia,Siberian,Siberians,,,
Indian subcontinent,Subcontinental,Desis,,,
Sulawesi,Sulawesian,Sulawesians,,,
Sumatra,Sumatran,Sumatrans,,,
Sylhet,Sylheti,Sylhetis,Sylhetian,,
Tibet,Tibetan,Tibetans,,,
Urals,Uralic,,,,
Visayas,Visayan,Visayans,,,
Alps,Alpine,,,,
Alsace,Alsatian,Alsatians,,,
Andalusia,Andalusian,Andalusians,,,
Apennines,Apennine,,,,
Apulia,Apulian,Apulians,,,
Aragon,Aragonese,,,,
Asturias,Asturian,Asturians,,,
Balkans,Balkan,,,,
Baltic region,Baltic,Balts,,,
Bavaria,Bavarian,Bavarians,,,
Basque Country,Basque,Basques,,,
Bessarabia,Bessarabian,Bessarabians,,,
Black Sea region,Black Sea,Chornomorian,Black Sea Cossacks,,
Bohemia,Bohemian,Bohemians,,,
Boyko region,Boyko,Boykos,,,
Bukovina,Bukovinian,Bukovinians,,,
Brittany,Breton,Bretons,,,
Burgundy,Burgundian,Burgundians,,,
Calabria,Calabrian,Calabrians,,,
Campania,Campanian,Campanians,,,
Cantabria,Cantabrian,Cantabrians,,,
Carinthia,Carinthian,Carinthians,,,
Carpathians,Carpathian,,,,
Castile,Castilian,Castilians,,,
Catalonia,Catalan,Catalans,Catalonian,,
Ciscarpathia,Ciscarpathian,,,,
Cornwall,Cornish,,,,
Corsica,Corsican,Corsicans,,,
Courland,Curonian,Curonians,,,
Crete,Cretan,Cretans,,,
Crimea,Crimean,Crimeans,,,
Cumberland,Cumbrian,Cumbrians,,,
Dalmatia,Dalmatian,Dalmatians,,,
Danube River,Danubian,,,,
Dnieper Ukraine,Dniprian,Dniprians,,,
Dobruja,Dobrujan,Dobrujans,,,
Durham,Dunelmian,Dunelmians,Durhamites,,
Eastphalia,Eastphalian,Eastphalians,,,
Extremadura,Extremaduran,Extremadurans,,,
Fife,Fife,Fifers,,,
Flanders,Flemish,Flemings,,,
Franconia,Franconian,Franconians,,,
Friesland,Friesian,Frisian,Friesians,Frisians,
Friuli,Friulian,Friulians,,,
Gagauzia,Gagauz,Gagauzian,Gagauzians,,
Galicia,Galician,Galicians,,,
Galloway,Gallovidian,Gallovidians,,,
Gascony,Gascon,Gascons,,,
Gotland,Gotland,Gotlanders,,,
Gozo,Gozitan,Gozitans,,,
Harrow,Harrovian,Harrovians,,,
Hebrides,Hebridean,Hebrideans,,,
Heligoland,Heligolandic,Heligolanders,,,
Hesse,Hessian,Hessians,,,
Holstein,Holsteinian,Holsteiners,,,
Hutsul region,Hutsul,Hutsuls,,,
Iberian Peninsula,Iberian,Iberians,,,
Ingria,Ingrian,Ingrians,,,
Istria,Istrian,Istrians,,,
Jutland,Jutland,Jutlanders,,,
Karelia,Karelian,Karelians,,,
Kashubia,Kashubian,Kashubians,,,
Kosovo,Kosovar,Kosovan,Kosovars,Kosovans,
Kuban,Kuban,Kubanians,Kuban Cossacks,,
Left-bank Ukraine,Ukrainian,"""Little Russian"" (historical",Hetmanians,hetmantsi,"""Little Russians"" (historical"
Lemko region,Lemkian,Lemk,Lemkos,Lemkians,Lemks
Lancashire,Lancastrian,Lancastrians,,,
Lapland,Laplandic,Sámi,Laplanders,Lappish,
León,Leonese,Leoneses,,,
Liguria,Ligurian,Ligurians,,,
Lombardy,Lombard,Lombardic,Lombards,,
Lorraine,Lorrainian,Lorrainians,,,
Lusatia,Lusatian,Lusatians,,,
Mallorca,Mallorcan,Majorcan,Mallorcans,Majorcans,
Menorca,Menorcan,Menorcans,,,
Moravia,Moravian,Moravians,,,
Murcia,Murcian,Murcians,,,
Navarre,Navarrese,Navarrean,,,
Normandy,Norman,Normans,,,
Northumberland,Northumbrian,Northumbrians,,,
Occitania,Occitan,Occitans,,,
Orkney,Orcadian,Orcadians,,,
Palatinate,Palatine,Palatines,,,
Peloponnese,Peloponnesian,Peloponnesians,,,
Pennines,Pennine,,,,
Picardy,Picard,Picards,,,
Piedmont,Piedmontese,,,,
Po River,Padane,,,,
Podolia,Podolian,Podillian,Podolians,Podillians,
Pokuttya,Pokuttyan,,,,
Polesia,Polesian,Polissian,Poleshuks,Poleshchuks,
Pomerania,Pomeranian,Pomeranians,,,
Provence,Provençal,,,,
Pyrenees,Pyrenean,,,,
Rhineland,Rhenish,Rhinelanders,,,
Right-bank Ukraine,Trans-Dnieper,Trans-Dniprian,,,
Rus',Rus',Ruthenian,Ruthene,Rus'ian,Russian (historical
Ruthenia,Ruthenian,Ruthene,Ruthenians,Ruthenes,Rusyns
Samogitia,Samogitian,Samogitians,,,
Sardinia,Sardinian,Sardinians,,,
Savoy,Savoyard,Savoyards,,,
Saxony,Saxon,Saxons,,,
Scandinavia,Scandinavian,Scandinavians,,,
Scania,Scanian,Scanians,,,
Shetland,Shetland,Shetlanders,,,
Sicily,Sicilian,Sicilians,,,
Silesia,Silesian,Silesians,,,
Slavonia,Slavonian,Slavonians,,,
Sloboda Ukraine,Sloboda Ukrainian,Slobozhanian,Sloboda Cossacks,Sloboda Ukrainians,Slobozhanians
Styria,Styrian,Styrians,,,
Subcarpathia,Subcarpathian,,,,
Thrace,Thracian,Thracians,,,
Thuringia,Thuringian,Thuringians,,,
Transcarpathia,Transcarpathia,,,,
Transylvania,Transylvanian,Transylvanians,,,
Tuscany,Tuscan,Tuscans,,,
Tyrol,Tyrolean,Tyrolese,Tyroleans,,
Umbria,Umbrian,Umbrians,,,
Valencia,Valencian,Valencians,,,
Veneto,Venetian,Venetians,,,
Volhynia,Volhynian,Volhynians,,,
Wallachia,Wallachian,Wallachians,,,
Wallonia,Walloon,Walloons,,,
Westmorland,Westmerian,Westmerians,,,
Westphalia,Westphalian,Westphalians,,,
Yorkshire,Yorkshire,Yorkshiremen,Yorkshirewomen,,
Zaporizhzhia,Zaporozhian,Zaporozhians,,,
Zeeland,Zeeland,Zeelanders,,,
Arabia,Arab,Arabian,Arabs,Arabians,
Galilee,Galilean,Galileans,,,
Hadhramaut,Hadhrami,Hadharem (Hadhrami sing.,,,
Judea,Judean,Judaean,Judeans,Judaeans,
Kurdistan,Kurdish,Kurds,,,
Levant,Levantine,Levantines,,,
Samaria,Samaritan,Samaritans,,,
Anatolia,Anatolian,Anatolians,,,
Antipodes,Antipodean,Antipodeans,,,
Banaba,Banaban,Banabans,,,
Bougainville,Bougainvillean,Bougainvilleans,,,
Chuuk,Chuukese,,,,
Easter Island,Easter Island,Easter Islanders,Rapa Nui,,
Kosrae,Kosraean,Kosraeans,,,
Lau Islands,Lauan,Lauans,,,
Micronesia,Micronesian,Micronesians,,,
New Guinea,New Guinean,New Guineans,,,
Pohnpei,Pohnpeian,Pohnpeians,,,
Polynesia,Polynesian,Polynesians,,,
Rarotonga,Rarotongan,Rarotongans,,,
Rotuma,Rotuman,Rotumans,,,
Tahiti,Tahitian,Tahitians,,,
Torres Strait Islands,Torres Strait Island,Torres Strait Islanders,,,
Yap,Yapese,,,,
