Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Alabama,Alabamian,Alabaman,,,
Alaska,Alaskan,,,,
American Samoa,American Samoan,Samoan: Amerika Samoa,,,
Arizona,Arizonan,Arizonian,Spanish: arizonense,,
Arkansas,Arkansan,Arkansasan,Arkansawyer,Arkie,
California,Californian,Prune Picker,Californios,Spanish: Californio,californiano
Colorado,Coloradan,Coloradoan,Spanish: coloradino,coloradina,coloradeño
Connecticut,Connecticuter,Nutmegger,,,
Delaware,Delawarean,Blue Hen's Chicken,Muskrat,,
District of Columbia,Washingtonian,,,,
Florida,Floridian,Alligator,Fly-Up-the-Creek,Spanish: floridiano,floridiana
Georgia,Georgian,Buzzard,Cracker,Goober-grabber,
Guam,Guamanian,Chamorro: Tåotåo Guåhån,,,
Hawaii,Hawaii resident,Islander,"Kamaʻāina. The Associated Press Stylebook restricts use of ""Hawaiian"" to people of Native Hawaiian descent.",Hawaiian: Kamaʻāina,
Idaho,Idahoan,,,,
Illinois,Illinoisan,Illinoisian,Illinoian,Flatlander,Sucker
Indiana,Hoosier,Indianan (former GPO demonym replaced by Hoosier in 2016,Indianian,,
Iowa,Iowan,Hawkeye,,,
Kansas,Kansan,Grasshopper,Jayhawker,Sunflower,
Kentucky,Kentuckian,Corncracker,Kentuckyan,,
Louisiana,Louisianian,Louisianan,French: Louisianais Spanish: luisiano,luisiana,
Maine,Mainer,Down Easter or Downeaster,Mainiac,Yankee (rare,
Maryland,Marylander,,,,
Massachusetts,Massachusettsan,Bay Stater (official term used by state government) and Citizen of the Commonwealth (identifier used in state law,Massachusettsian,Massachusite,Masshole (derogatory as an exonym
Michigan,Michigander,Michiganian,Wolverine,Michiganite,Yooper
Minnesota,Minnesotan,,,,
Mississippi,Mississippian,,,,
Missouri,Missourian,Missouran,French: Missourien Spanish: misuriano,,
Montana,Montanan,Spanish: montanés,montanesa,,
Nebraska,Nebraskan,Cornhusker,Bugeater,,
Nevada,Nevadan,Spanish: Nevadeño,nevadeña,nevadense,
New Hampshire,New Hampshirite,New Hampshireman or New Hampshirewoman,Granite Stater,Granite Boys,
New Jersey,New Jerseyan,New Jerseyite,,,
New Mexico,New Mexican,Spanish: neomexicano,neomexicana,neomejicano,neomejicana
New York,New Yorker,Knickerbocker,Spanish: neoyorquino,neoyorquina,
North Carolina,North Carolinian,Tar Heel,Tar Boiler,Spanish: norcarolino,norcarolina
North Dakota,North Dakotan,Spanish: nordakotense,,,
Northern Mariana Islands,Mariana Islander,Chamorro: Tåotåo Mariånas,Northern Marianan,,
Ohio,Ohioan,Buckeye,Ohian,,
Oklahoma,Oklahoman,Okie,Sooner,,
Oregon,Oregonian,,,,
Pennsylvania,Pennsylvanian,Penn,Quaker,Pennamite,Pennsylvania Dutch: Pennsylvanier
Puerto Rico,Puerto Rican,Boricua,Spanish: puertorriqueño,puertorriqueña,
Rhode Island,Rhode Islander,Swamp Yankee,,,
South Carolina,South Carolinian,Sandlapper,Spanish: sudcarolino,sudcarolina,
South Dakota,South Dakotan,Spanish: sudakotense,,,
Tennessee,Tennessean,Volunteer,Butternut,Big Bender,Spanish: tennesiano
Texas,Texan,Texian (Anglo-Texan,historical,Tejano (Hispano-Texan,Texican
Utah,Utahn,Utahan (a common exonym not typically used by Utahns,Spanish: utaheño,utaheña,yutaheño
Vermont,Vermonter,Woodchuck,,,
Virgin Islands,Virgin Islander,,,,
Virginia,Virginian,,,,
Washington,Washingtonian,,,,
West Virginia,West Virginian,Mountaineer,,,
Wisconsin,Wisconsinite,Badger,Cheesehead,Sconnie,Wisconsonian
Wyoming,Wyomingite,Wyomese,Wyomingian,Spanish: wyominguita,
